movie_id,real_budget,real_revenue,real_profit,is_profitable,is_sequel,is_blockbuster_season,runtime,star,director,writer,rating,country,vote_count,score,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,theme_agent,theme_american,theme_brother,theme_car,theme_city,theme_daughter,theme_death,theme_director,theme_drug,theme_family,theme_father,theme_finds,theme_friend,theme_friends,theme_help,theme_high,theme_love,theme_mother,theme_murder,theme_old,theme_police,theme_relationship,theme_school,theme_secret,theme_son,theme_town,theme_true,theme_war,theme_wife,theme_years
3000 miles to graceland,109821569.73461322,33159338.777526822,-76662230.9570864,0,0,0,125.0,Kurt Russell,Demian Lichtenstein,Richard Recco,R,United States,688.0,5.854,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300: rise of an empire,145783692.43768483,438384883.81368816,292601191.3760033,1,0,0,102.0,Sullivan Stapleton,Noam Murro,Zack Snyder,R,United States,3870.0,6.115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,1960625.0,1206081.0829166668,-754543.9170833332,0,0,0,102.0,Malcolm McDowell,Rob Zombie,Rob Zombie,,United Kingdom,370.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3:10 to yuma,83229618.90979256,105953151.05643994,22723532.14664738,1,0,0,122.0,Russell Crowe,James Mangold,Halsted Welles,R,United States,3946.0,7.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40 days and 40 nights,29643690.93941078,165911000.4285714,136267309.48916063,1,0,0,96.0,Josh Hartnett,Michael Lehmann,Rob Perez,R,United Kingdom,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,41736909.87124464,131229866.53948498,89492956.66824034,1,0,0,128.0,Chadwick Boseman,Brian Helgeland,Brian Helgeland,PG-13,United States,1028.0,7.189,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47 meters down,6783394.532843737,79606924.58465932,72823530.05181558,1,0,0,89.0,Mandy Moore,Johannes Roberts,Johannes Roberts,PG-13,United Kingdom,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47 meters down: uncaged,14721939.773171686,58375635.56159562,43653695.78842393,1,0,0,90.0,Sophie Nélisse,Johannes Roberts,Ernest Riera,PG-13,United Kingdom,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47 ronin,235611587.98283264,204264226.89055794,-31347361.092274696,0,0,1,128.0,Keanu Reeves,Carl Rinsch,Chris Morgan,PG-13,United States,2080.0,6.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48 hrs.,39009326.42487047,256383947.76787564,217374621.34300518,1,0,0,96.0,Nick Nolte,Walter Hill,Roger Spottiswoode,R,United States,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
